Wilayah,OPEN,SUBMITTED RESPONDENT,DRAFT,SUBMITTED BY Pencacah,APPROVED BY Pengawas,REJECTED BY Admin Kabupaten,REJECTED BY Pengawas,EDITED BY Admin Kabupaten,COMPLETED BY Admin Kabupaten
1371,754,55,25,,,,,,
1311,90,9,41,35,1,1,,,
1308,106,31,3,,,,,,
1305,89,27,18,1,,,1,,
1306,58,20,12,17,,,8,1,
1312,57,29,7,4,,,,1,1
1304,86,7,2,,,,,,
1309,34,49,10,1,,,,,
1307,53,24,11,2,,,,,
1372,12,37,11,,,1,,,
1373,27,11,13,,,2,,1,
1377,,22,2,25,2,,,,
1375,14,26,10,,,,,,
1302,32,8,9,,,,,,
1376,13,25,,,2,,,2,
1303,12,17,6,,,1,1,1,
1374,1,7,1,1,12,,9,,
1301,15,9,3,,,,,,
1310,,17,1,,,,,,
