Wilayah,OPEN,SUBMITTED BY Pencacah,APPROVED BY Pengawas,DRAFT,REJECTED BY Pengawas,SUBMITTED RESPONDENT,REVOKED BY Pengawas,EDITED BY Pengawas,EDITED BY Admin Kabupaten,REJECTED BY Admin Kabupaten,COMPLETED BY Admin Kabupaten
1371,306356,37662,25773,9617,2050,332,92,20,11,4,
1307,165857,27158,27243,14885,1765,33,99,21,24,,
1302,158225,22677,18584,8271,1490,21,146,20,1,,
1305,127123,19681,22322,11724,1934,16,48,22,,,
1306,139778,20838,15319,4372,1334,26,38,13,5,,7
1303,136062,15536,11367,7051,2434,15,73,10,,,
1308,125461,23179,17975,3770,1287,8,52,21,1,,
1312,92905,23272,17147,6326,1344,27,87,19,,,
1309,93420,18978,8327,4715,1373,76,154,11,9,,9
1304,69129,11149,14021,4452,1986,66,59,15,7,1,
1311,69441,15618,7245,3405,861,48,31,6,2,,2
1310,44629,8033,8368,3118,1023,27,79,7,,,
1375,47607,6616,3778,1982,437,22,21,9,17,,1
1376,41569,9029,3714,1509,961,12,16,9,,,
1377,27475,6816,4463,980,490,17,8,3,7,,118
1372,26406,4965,2650,1199,410,8,20,7,,,
1301,25277,3975,1477,887,300,5,2,1,,,
1374,19439,5287,3933,740,103,16,10,2,7,2,
1373,19334,4846,2080,1491,790,8,10,6,,,
